Grupo,test,TCNO,VG,TCNOTEXT,VGTEXT,Output,Decision.TCNO,Decision.VG,Decision
GrupoD,w04,1,27,NA, 23 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w05,1,362,NA, 94 264 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w06,1,55,NA, 51 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w07,1,232,NA, 90 138 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w08,1,233,NA, 90 139 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w09,1,1897,NA, 184 1709 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w10,1,36,NA, 32 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w11,1,54,NA, 50 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w12,1,36,NA, 32 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w13,1,54,NA, 50 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w14,1,22,NA, 18 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w15,1,22,NA, 18 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w16,1,22,NA, 18 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w17,1,655,NA, 122 529 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w18,1,1057,NA, 130 923 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w19,1,1063,NA, 138 921 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w20,1,1465,NA, 146 1315 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w21,1,1846,NA, 138 1704 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w22,1,648,NA, 114 530 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w23,1,1865,NA, 154 1707 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w24,1,1065,NA, 138 923 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w25,1,1871,NA, 162 1705 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w26,1,2646,NA, 154 2488 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w27,1,1448,NA, 130 1314 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w28,1,374,NA, 106 264 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w29,0,38,NA, 34 0 0 4 0 ,NA,TRUE,FALSE,FALSE
GrupoD,w30,1,763,NA, 102 657 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w31,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w32,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w33,1,652,NA, 121 527 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w34,1,652,NA, 121 527 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w35,1,920,NA, 126 790 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w36,1,920,NA, 126 790 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w37,1,920,NA, 126 790 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w38,1,920,NA, 126 790 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w39,1,1468,NA, 150 1314 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w40,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w41,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w42,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w43,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w44,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w45,1,506,NA, 106 396 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w46,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w47,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w48,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w49,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w50,1,646,NA, 110 532 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w51,1,646,NA, 110 532 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w52,1,646,NA, 110 532 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w53,1,646,NA, 110 532 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w54,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w55,1,646,NA, 114 528 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w56,1,646,NA, 110 532 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w57,1,646,NA, 110 532 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w58,1,770,NA, 110 656 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w59,1,770,NA, 110 656 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w60,1,770,NA, 110 656 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w61,1,928,NA, 134 790 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w62,1,928,NA, 134 790 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w63,2,38,NA, 34 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w64,1,27,NA, 23 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w65,1,3834,NA, 286 3544 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w66,1,4496,NA, 294 4198 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w67,1,3834,NA, 286 3544 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w68,1,90,NA, 86 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w69,0,54,NA, 50 0 0 4 0 ,NA,TRUE,FALSE,FALSE
GrupoD,w70,1,38,NA, 34 0 0 4 0 ,NA,FALSE,FALSE,FALSE
